ArticleTitle,ArticleID,Department ,CloseDate ,WinningBid ,InventoryID,VehicleID,ReceiptNumber ,Fund
Hoover Steam Vac,97991,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/1/16,$27.00 ,PPEU-031C-149,,3689905552,Enterprise
Table,97990,GENERAL SERVICES,12/1/16,$6.00 ,109886,,3689973013,General Fund
Table,97989,GENERAL SERVICES,12/1/16,$6.00 ,109885,,3689912834,General Fund
Table,97988,GENERAL SERVICES,12/1/16,$1.00 ,109887,,Cashiers Check,General Fund
Swann Security System,97987,POLICE STATE DRUG FUND,12/1/16,$218.00 ,PSDF-028-008,,Money Order,Enterprise
Sony Laptop,97986,POLICE STATE DRUG FUND,12/1/16,$283.00 ,PSDF-028-014,,3689705726,Enterprise
XBox 360,97985,POLICE STATE DRUG FUND,12/1/16,$33.00 ,PSDF-028-017,,3689703535,Enterprise
Apple iPad,97983,POLICE STATE DRUG FUND,12/1/16,$103.00 ,PSDF-028-010,,3689705721,Enterprise
Canon EOS 7D Digital Camera,97982,POLICE STATE DRUG FUND,12/1/16,$570.00 ,PSDF-028-015,,3689716165,Enterprise
2 Lorex Digital Wireless Cameras,97981,POLICE STATE DRUG FUND,12/1/16,$62.00 ,PSDF-028-007,,3689905550,Enterprise
2 Cobra Walkie Talkies,97980,POLICE STATE DRUG FUND,12/1/16,$47.00 ,PSDF-028-006,,3690146153,Enterprise
Flips Audio Head Phones,97979,POLICE STATE DRUG FUND,12/1/16,$42.00 ,PSDF-028-005,,3689988791,Enterprise
Beats by Dr. Dre Head Phones,97978,POLICE STATE DRUG FUND,12/1/16,$111.00 ,PSDF-028-004,,3690573953,Enterprise
Kent Bicycle,98021,POLICE VEHICLE IMPOUND,12/5/16,$42.00 ,IM-1066412,,Money Order,General Fund
Kent Bicycle,98020,POLICE VEHICLE IMPOUND,12/5/16,$47.00 ,IM-185301,,Money Order,General Fund
Diamond Back Bicycle,98019,POLICE VEHICLE IMPOUND,12/5/16,$39.00 ,IM-1067043,,Money Order,General Fund
Nishiki 21-Speed Bicycle,98017,POLICE VEHICLE IMPOUND,12/5/16,$53.00 ,IM-167532,,3690374823,General Fund
Pacific 21-Speed Bicycle,98016,POLICE VEHICLE IMPOUND,12/5/16,$25.00 ,IM-164977,,3690527641,General Fund
Next 14-Speed Bicycle,98015,POLICE VEHICLE IMPOUND,12/5/16,$21.00 ,IM-1074187,,3690141071,General Fund
Breezer 24-Speed Bicycle,98014,POLICE VEHICLE IMPOUND,12/5/16,$209.00 ,IM-148995,,3690056324,General Fund
GMC 21-Speed Bicycle,98013,POLICE VEHICLE IMPOUND,12/5/16,$57.00 ,IM-172876,,Money Order,General Fund
Magna 15-Speed Bicycle,98012,POLICE VEHICLE IMPOUND,12/5/16,$27.00 ,IM-149000,,3690095346,General Fund
Dell Laptop,98011,ITS,12/5/16,$118.50 ,110140,,3689973470,General Fund
Dell Laptop,98010,ITS,12/5/16,$88.05 ,110538,,3690146276,General Fund
Dell Laptop,98009,ITS,12/5/16,$84.00 ,110532,,3690050066,General Fund
Office Supplies,98008,REGISTER OF DEEDS,12/5/16,$21.00 ,"108082, 108079, 108081, 108070, 108080, 108076, 108072",,3690258278,General Fund
Printer,98006,REGISTER OF DEEDS,12/5/16,$52.00 ,108063,,3690258275,General Fund
Printer,98005,REGISTER OF DEEDS,12/5/16,$50.00 ,108064,,3690072277,General Fund
Printer,98004,REGISTER OF DEEDS,12/5/16,$45.00 ,108062,,3690072273,General Fund
Printer,98003,REGISTER OF DEEDS,12/5/16,$42.00 ,108061,,3689967871,General Fund
Microwave,98002,REGISTER OF DEEDS,12/5/16,$22.89 ,108078,,3691033939,General Fund
Microwave,98001,REGISTER OF DEEDS,12/5/16,$20.01 ,108077,,3690930820,General Fund
Printer,98000,REGISTER OF DEEDS,12/5/16,$40.50 ,108060,,3690267190,General Fund
Lamp,97999,GENERAL SERVICES,12/5/16,$11.00 ,109827,,Cashiers Check,General Fund
3 Chairs,97998,GENERAL SERVICES,12/5/16,$2.00 ,"109973, 109977, 109978",,3690961483,General Fund
Binders,97995,POLICE DEPARTMENT,12/5/16,$4.00 ,108948A,,3689963867,General Fund
3 Chairs,97994,POLICE DEPARTMENT,12/5/16,$4.00 ,"110872, 110873, 110874",,3690550867,General Fund
Popcorn Popper w/Stand,97993,ECD COMMUNICATIONS,12/5/16,$130.00 ,ECD-110883,,Cashiers Check,Enterprise
Electric Impact Wrench,98045,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$42.00 ,PPEU-034-031,,3690241644,Enterprise
DeWalt VSR Versa-Clutch Screwdriver,98044,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$20.00 ,PPEU-034-023,,3690241982,Enterprise
"Black & Decker 1/2"" Electric Impact Wrench",98043,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$29.02 ,PPEU-034-033,,3690067279,Enterprise
Hilti Angle Grinder,98042,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$21.00 ,PPEU-034-027,,3690137617,Enterprise
AmBico Bag w/Camera Accessories,98041,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$32.60 ,PPEU-034-036,,3690060900,Enterprise
Innova Car Scan,98040,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$201.00 ,PPEU-034-032,,3690551269,Enterprise
Tool Box w/Tools,98039,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/16,$54.26 ,PPEU-034-042,,3690389639,Enterprise
Copier,98029,SCHOOL BOARD WAREHOUSE,12/6/16,$113.00 ,SBS-7963,,3690094896,Enterprise
Mixer,98027,SCHOOL BOARD FOOD SERVICE,12/6/16,$870.00 ,FSBS-0312,,3690053834,Enterprise
Ice Maker,98025,SCHOOL BOARD FOOD SERVICE,12/6/16,$640.00 ,FSBS-0315,,Cashiers Check,Enterprise
Ice Cream Box,98024,SCHOOL BOARD FOOD SERVICE,12/6/16,$2.00 ,FSBS-0313,,3690791030,Enterprise
Refrigerator,98023,SCHOOL BOARD FOOD SERVICE,12/6/16,$106.01 ,FSBS-0316,,3690542151,Enterprise
Freezer,98022,SCHOOL BOARD FOOD SERVICE,12/6/16,$135.99 ,FSBS-0314,,3690791023,Enterprise
2009 Chevolet Impala,98086,OFM-POLICE,12/7/16,$164.00 ,,1884 JI,Money Order,Enterprise
2008 Ford F-550,98085,OFM-WATER SERVICES,12/7/16,"$6,350.00 ",,1577 JG,Cashiers Check,Enterprise
2005 CM Dakota 2 Stall Horse Trailer,98084,POLICE DEPARTMENT,12/7/16,"$2,425.00 ",,07S 4686,Cashiers Check,General Fund
