ArticleTitle,ArticleID,HashValue,Department ,CloseDate ,WinningBid ,InventoryID,VehicleID,ReceiptNumber ,Fund
Hoover Steam Vac,97991,71,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/1/2016,$27.00 ,PPEU-031C-149,,3689905552,Enterprise
Table,97990,70,GENERAL SERVICES,12/1/2016,$6.00 ,109886,,3689973013,General Fund
Table,97989,69,GENERAL SERVICES,12/1/2016,$6.00 ,109885,,3689912834,General Fund
Table,97988,68,GENERAL SERVICES,12/1/2016,$1.00 ,109887,,Cashiers Check,General Fund
Swann Security System,97987,67,POLICE STATE DRUG FUND,12/1/2016,$218.00 ,PSDF-028-008,,Money Order,Enterprise
Sony Laptop,97986,66,POLICE STATE DRUG FUND,12/1/2016,$283.00 ,PSDF-028-014,,3689705726,Enterprise
XBox 360,97985,65,POLICE STATE DRUG FUND,12/1/2016,$33.00 ,PSDF-028-017,,3689703535,Enterprise
Apple iPad,97983,63,POLICE STATE DRUG FUND,12/1/2016,$103.00 ,PSDF-028-010,,3689705721,Enterprise
Canon EOS 7D Digital Camera,97982,62,POLICE STATE DRUG FUND,12/1/2016,$570.00 ,PSDF-028-015,,3689716165,Enterprise
2 Lorex Digital Wireless Cameras,97981,61,POLICE STATE DRUG FUND,12/1/2016,$62.00 ,PSDF-028-007,,3689905550,Enterprise
2 Cobra Walkie Talkies,97980,60,POLICE STATE DRUG FUND,12/1/2016,$47.00 ,PSDF-028-006,,3690146153,Enterprise
Flips Audio Head Phones,97979,59,POLICE STATE DRUG FUND,12/1/2016,$42.00 ,PSDF-028-005,,3689988791,Enterprise
Beats by Dr. Dre Head Phones,97978,58,POLICE STATE DRUG FUND,12/1/2016,$111.00 ,PSDF-028-004,,3690573953,Enterprise
Kent Bicycle,98021,101,POLICE VEHICLE IMPOUND,12/5/2016,$42.00 ,IM-1066412,,Money Order,General Fund
Kent Bicycle,98020,100,POLICE VEHICLE IMPOUND,12/5/2016,$47.00 ,IM-185301,,Money Order,General Fund
